stratum,tasks,B_R1,GAP_R1,SupCon_in_R1
"day=7,k=1",5055,0.8021760633036598,0.6890207715133532,0.5869436201780416
"day=7,k=3",5055,0.8652818991097923,0.7711177052423344,0.6316518298714144
"day=7,k=5",5055,0.8882294757665677,0.8021760633036598,0.7873392680514342
"day=8,k=1",5715,0.7770778652668416,0.6748906386701662,0.5776027996500438
"day=8,k=3",5715,0.8467191601049868,0.7604549431321085,0.6145231846019248
"day=8,k=5",5715,0.8652668416447944,0.7874015748031497,0.7532808398950132
"day=9,k=1",4965,0.7770392749244713,0.6632426988922457,0.573816717019134
"day=9,k=3",4965,0.8475327291037261,0.7442094662638469,0.6102719033232629
"day=9,k=5",4965,0.8549848942598187,0.7744209466263847,0.756294058408862
