stratum,tasks,B_R1,GAP_R1,SupCon_in_R1
"candidates=65,k=1",12375,0.7999191919191919,0.679030303030303,0.594020202020202
"candidates=65,k=3",12375,0.8646464646464647,0.7600808080808081,0.629010101010101
"candidates=65,k=5",12375,0.88,0.7915151515151515,0.7777777777777778
"candidates=64,k=1",3360,0.7306547619047619,0.6636904761904762,0.5255952380952381
"candidates=64,k=3",3360,0.8098214285714286,0.7538690476190476,0.580654761904762
"candidates=64,k=5",3360,0.8303571428571429,0.7752976190476191,0.71875
