comparison,K,difference_pp,lower_percentile_2_5,upper_percentile_97_5
B_minus_GAP,1,10.792616720955477,8.668753740205691,13.001296517661268
B_minus_SupCon-in,1,21.685124864277956,18.704149412065437,25.040314837275112
B_neutral_minus_baseline,1,3.205211726384357,1.9004172609663827,4.641572395268357
B_minus_GAP,3,11.187839305103148,8.7140929686189,13.659700648305266
B_minus_SupCon-in,3,25.48099891422368,21.990472739820564,29.14579756651959
B_neutral_minus_baseline,3,3.2747014115092314,1.5841996276454307,5.147428656997406
B_minus_GAP,5,10.697068403908814,7.805571871900701,13.557233237776709
B_minus_SupCon-in,5,26.610206297502735,23.051336147815142,30.276979166666642
B_neutral_minus_baseline,5,3.45711183496202,1.5106645606645708,5.362541546242764
