method,fold,seed,selected_epoch,score_weight_sha256,export_sha256,binding
SupCon-in,2,29,18,deacd0a758590bc86f7b1d363d9a052acb76e203637f695f6a3a13445f47ecb2,deacd0a758590bc86f7b1d363d9a052acb76e203637f695f6a3a13445f47ecb2,training_completion_to_export_to_scoring_and_local_weight_bytes
SupCon-in,2,43,17,9bcf4265bbcda2359c331964bda734f624ff3a6211078dfed8593132a5899fbc,9bcf4265bbcda2359c331964bda734f624ff3a6211078dfed8593132a5899fbc,training_completion_to_export_to_scoring_and_local_weight_bytes
SupCon-in,3,17,26,18880ea583e1b4265d105d4bd7f73d1aaedc4b00b98b290974ed98bd24afeb37,18880ea583e1b4265d105d4bd7f73d1aaedc4b00b98b290974ed98bd24afeb37,training_completion_to_export_to_scoring_and_local_weight_bytes
SupCon-in,3,29,6,2eea338ae0fe40df6fdf639442e3db15434c173b29296f950d3bc687710dcabb,2eea338ae0fe40df6fdf639442e3db15434c173b29296f950d3bc687710dcabb,training_completion_to_export_to_scoring_and_local_weight_bytes
SupCon-in,3,43,18,5a38c905fdef88a1f7741ae254b802187d563e717d1c2599ccb561267bafe684,5a38c905fdef88a1f7741ae254b802187d563e717d1c2599ccb561267bafe684,training_completion_to_export_to_scoring_and_local_weight_bytes
SupCon-in,4,17,10,691f04b6af432c361a46bc058a378bd6a76f77e7e79fde1f9d440d3e0e8f6fcf,691f04b6af432c361a46bc058a378bd6a76f77e7e79fde1f9d440d3e0e8f6fcf,training_completion_to_export_to_scoring_and_local_weight_bytes
SupCon-in,4,29,20,2b7502c232c34d1882e3a9d525c7faebe751bb53b6521a4c92115c7a03bd91a9,2b7502c232c34d1882e3a9d525c7faebe751bb53b6521a4c92115c7a03bd91a9,training_completion_to_export_to_scoring_and_local_weight_bytes
SupCon-in,4,43,26,b5858f0ed7396c1e2de288313b15451707ca685d468dabcc98218a11d8c703b7,b5858f0ed7396c1e2de288313b15451707ca685d468dabcc98218a11d8c703b7,training_completion_to_export_to_scoring_and_local_weight_bytes
B,0,17,14,6cb15fd841727a21b00b707a5fcc9b64c512070ba75fc4b72f262e99a2e402c5,5f10362216a765f37d11e7d0fdfd860ac3b7a423aa7c76e83af0c093ec05298e,score_checkpoint_to_export_catalog_and_local_export_bytes
B,0,29,17,69f499b852f9c6e882f25bc7cdc1e58376b53cdb3b63a8fc42368e9f0988b016,55be1c3792993d55fba8dbedbff0c3937d76ff04016740b4322288555a3cdbe8,score_checkpoint_to_export_catalog_and_local_export_bytes
B,0,43,21,eaa333d9105765a4551f3c323506ddee0757192de53528f3029c4174aa9bead8,86ecb237b130cf52fed320cb8838beef6e2d558f3ea5b56d01c51444fe77ac39,score_checkpoint_to_export_catalog_and_local_export_bytes
B,1,17,13,74380be5779fbc24305d2a67f4f9aa7152259c7c6028ff7c7456e38ff428b8c7,066f9f4f96e1eb3361c27dc9aa86c072da8d14db00e768dd643b24c2225fe4f8,score_checkpoint_to_export_catalog_and_local_export_bytes
B,1,29,13,e7ec1b976f31bc85a3a1b2b1578dd8634e9b581a088d00b7d97b51a791361cc6,d73814d5e72f297370e7cc49cab1bcc5e2cb59cfc433d10de40c1f1a20b64a0e,score_checkpoint_to_export_catalog_and_local_export_bytes
B,1,43,18,dd394993fd03429cb59ff2185af7a036b580bd0ff1f1b7e506549bacba7b90aa,94e33052e74539cb84ae0a0058071966d29f62e7045811b5a013b2ffcf78c579,score_checkpoint_to_export_catalog_and_local_export_bytes
B,2,17,21,0a63d46d53385a25381c026329ee985760d5ca849714b011ee233e14bf6e13e0,5028c79384fab402eaa07ac45511618c7d6eb4655fe76e705fb0500ec92b616a,score_checkpoint_to_export_catalog_and_local_export_bytes
B,2,29,8,cf28f75f3193b86db53955eedd5c149a1f8754456d33717d9174968b821839e4,e80b4b35290c43dabbe148557a710d99055541d2f98de432ea2627d5f38afbc5,score_checkpoint_to_export_catalog_and_local_export_bytes
B,2,43,10,ecb6860603b79d3993c28c80256843af7e3470d635083765ce6e2c19aa00ee56,492a6e277611f22c9d72efd0e8fd4720e31432db3f6ed35c585621f4d9d454f4,score_checkpoint_to_export_catalog_and_local_export_bytes
B,3,17,12,a4eda7c68a23399cc8c474f51b31f4a24d6010962ebcc5630dee12680d58249c,dc28e858d6095891f711bc56678029c5701f19fa268506dbfa7075c47e1f59e9,score_checkpoint_to_export_catalog_and_local_export_bytes
B,3,29,18,b4a358cf6e22cb0c8b747c3c60cd5740764bc4f072f7fa710cc32ce011ef8949,c14e2164017230dfc4d6c708547833cfb3aa17ba39288814ce5b55686c840224,score_checkpoint_to_export_catalog_and_local_export_bytes
B,3,43,26,60ebc77d05c1bb9b001e3619a0ea9e89e2d8e207674818fc2850f04f7e7484d6,abfeeac03b11c361c837d741fe809145ffb104373e816a61b4daf6328020295e,score_checkpoint_to_export_catalog_and_local_export_bytes
B,4,17,14,b93bc4ff10d760afd832d4095791e87231889f722590cc398d711731f2889d6b,afcd167d87d3aace197caf22688f9617bd09186e030f25b22e6a796b60c339c7,score_checkpoint_to_export_catalog_and_local_export_bytes
B,4,29,17,59fa72f60d626c681bbc68c1b8bc2a9cd0a164235355d5cd40b1c743569f8c3d,3958ec3a4dc01694e19e0a7c6217c5a3cf7572d26c2acf2680f9bbe49dd43b9f,score_checkpoint_to_export_catalog_and_local_export_bytes
B,4,43,8,ca2d119c3abbdd64c29c773c2f3f6aeb6e60491765647bd8e5de214231e74c89,56c1e329db675dfe5c283742b057f667370e2c91b6b29570ebc0315729dc9cde,score_checkpoint_to_export_catalog_and_local_export_bytes
